Voltaje,RPM
0.5,366
0.8,893
1,1155
1.2,1316
1.4,1640
1.6,1946
1.8,2158
2,2405
2.2,2723
2.3,2800
2.4,2983
2.5,3085
2.6,3200
2.7,3369
2.8,3435
2.9,3653
3,3658
3.1,3766
3.2,4016
3.3,4095
3.4,4342
3.5,4488
3.6,4548
3.7,4656
3.8,4817
3.9,4922
4,5024
4.1,5184
4.2,5212
4.3,7470
