Time - Setpoint,Amplitude - Setpoint,Time - PV,Tiempo real,Amplitude - PV,Time - Error,Amplitude - Error,
14584,-58.961,14584,2916.8,-57.4176,14584,-1.54339,1.54339
14585,-58.961,14585,2917,-57.6218,14585,-1.3392,1.3392
14586,-58.961,14586,2917.2,-57.604,14586,-1.35695,1.35695
14587,-58.961,14587,2917.4,-58.19,14587,-0.770993,0.770993
14588,-58.961,14588,2917.6,-57.604,14588,-1.35695,1.35695
14589,-58.961,14589,2917.8,-57.5419,14589,-1.4191,1.4191
14590,-58.961,14590,2918,-57.5241,14590,-1.43686,1.43686
14591,-58.961,14591,2918.2,-57.5863,14591,-1.37471,1.37471
14592,-58.961,14592,2918.4,-58.2433,14592,-0.717724,0.717724
14593,-58.961,14593,2918.6,-57.5241,14593,-1.43686,1.43686
14594,-58.961,14594,2918.8,-57.4531,14594,-1.50788,1.50788
,,,,,,,0.143459
