Time - Setpoint,Amplitude - Setpoint,Time - PV,Tiempo real,Amplitude - PV,Time - Error,Amplitude - Error,
15046,48.0616,15046,3009.2,50.4879,15046,-2.42623,2.42623
15047,48.0616,15047,3009.4,49.2627,15047,-1.20104,1.20104
15048,48.0616,15048,3009.6,49.7243,15048,-1.66271,1.66271
15049,48.0616,15049,3009.8,49.7332,15049,-1.67158,1.67158
15050,48.0616,15050,3010,49.6888,15050,-1.62719,1.62719
15051,48.0616,15051,3010.2,50.5056,15051,-2.44399,2.44399
15052,48.0616,15052,3010.4,49.2804,15052,-1.2188,1.2188
15053,48.0616,15053,3010.6,49.6,15053,-1.53841,1.53841
15054,48.0616,15054,3010.8,49.7332,15054,-1.67158,1.67158
,,,,,,,0.565723
